Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.499128941748115e-5,-3.836479102079307e-5
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.499445937232074e-5,-3.9161422629425326e-5
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.499638874793132e-5,-3.96748095901228e-5
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4997084685806094e-5,-3.985520596439143e-5
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.499653312595882e-5,-3.962570958224482e-5
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.498332565472247e-5,-3.6941629304090925e-5
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4980266251147845e-5,-3.418783502605056e-5
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4976831621274305e-5,-2.9524321537967496e-5
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.497343069145971e-5,-2.3936469867579797e-5
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.49705006091368e-5,2.0750403361217917
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.49562045298081e-5,5.418518064038951
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.49548149819961e-5,5.418518736840331
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.495436444031547e-5,5.418518929878016
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.495474285281381e-5,5.418518854226718
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.495588226652484e-5,5.418518468803477
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.494882618154061e-5,5.418517289175815
