Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,922.2519870451819,6.472406872594413e-10,7203.748012955466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,1.1169881792218803e-9,1.1169881792218803e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,849.1384793753583,1.2922486796788598e-9,748.7615206259339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,2.0127223963219815e-9,2.0127223963219815e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4999999473675,1.297073354779712e-10,5.2762061386602e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,1.148179971418997e-13,17373.237158886594,18199.645158886593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,3.041720208248336e-13,20135.192346621403,21933.819346621403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,2.181393123510011e-9,2.181393123510011e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,1.867357561834005e-13,6542.667130936746,7282.667130936746,6770.0,8.690475896417744e-12,157267.59185093435,164037.59185093435,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,4.749456349710359e-13,1210.55947224609,1310.5594722460896,150.0,1.3251992469212818e-12,5237.657488071897,5387.657488071896,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3759.8904663679086,45261.65610869821,56679.20064233031,6920.0,1.0015675143339026e-11,162505.24933900623,169425.24933900623,0.0,0.0,0.0,0.0
