Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,194,12444.74857
,,,,,,,,195,12192.46826
,,,,,,,,196,12035.55434
,,,,,,,,197,11960.52889
,,,,,,,,198,11898.52247
,,,,,,,,199,11730.29976
,,,,,,,,200,11874.33611
,,,,,,,,201,12489.26071
,,,,,,,,202,12598.22232
,,,,,,,,203,12581.48998
,,,,,,,,204,12691.10156
,,,,,,,,205,13053.15928
,,,,,,,,206,13474.96197
,,,,,,,,207,14232.4113
,,,,,,,,208,15059.9464
,,,,,,,,209,15747.6354
,,,,,,,,210,16448.50072
,,,,,,,,211,16795.98376
,,,,,,,,212,16874.45375
,,,,,,,,213,16481.41522
,,,,,,,,214,15357.73305
,,,,,,,,215,14312.91468
,,,,,,,,216,13323.65148
,,,,,,,,217,12605.43735
,,,,,,,,218,12195.0297
,,,,,,,,219,11953.02383
,,,,,,,,220,11829.64677
,,,,,,,,221,11970.26575
,,,,,,,,222,12256.63308
,,,,,,,,223,12708.89168
,,,,,,,,224,13299.21235
,,,,,,,,225,13580.35551
,,,,,,,,226,13373.84657
,,,,,,,,227,13003.06602
,,,,,,,,228,13086.40643
,,,,,,,,229,13231.06769
,,,,,,,,230,13465.49528
,,,,,,,,231,14185.10288
,,,,,,,,232,15153.9037
,,,,,,,,233,16328.68276
,,,,,,,,234,16941.07927
,,,,,,,,235,16864.26493
,,,,,,,,236,16958.18298
,,,,,,,,237,16620.39362
,,,,,,,,238,15646.68561
,,,,,,,,239,14498.94385
,,,,,,,,240,13462.24816
,,,,,,,,241,12685.84283
,,,,,,,,242,12322.88949
,,,,,,,,243,12052.71926
,,,,,,,,244,11912.43175
,,,,,,,,245,12070.95437
,,,,,,,,246,12353.43241
,,,,,,,,247,12673.92106
,,,,,,,,248,13167.37978
,,,,,,,,249,13395.13207
,,,,,,,,250,13392.56772
,,,,,,,,251,13193.42243
,,,,,,,,252,13094.41985
,,,,,,,,253,12934.25307
,,,,,,,,254,13009.69258
,,,,,,,,255,13711.42263
,,,,,,,,256,14735.18152
,,,,,,,,257,15655.75777
,,,,,,,,258,16257.38913
,,,,,,,,259,16467.23132
,,,,,,,,260,16421.04248
,,,,,,,,261,15797.88896
,,,,,,,,262,15017.90484
,,,,,,,,263,13839.67315
,,,,,,,,264,12863.5938
,,,,,,,,265,12244.17101
,,,,,,,,266,11891.60536
,,,,,,,,267,11667.63359
,,,,,,,,268,11482.50958
,,,,,,,,269,11640.43558
,,,,,,,,270,11891.27568
,,,,,,,,271,12333.60405
,,,,,,,,272,12797.55734
,,,,,,,,273,12660.12617
,,,,,,,,274,12829.95719
,,,,,,,,275,12711.20695
,,,,,,,,276,12498.24412
,,,,,,,,277,12458.49772
,,,,,,,,278,12621.86909
,,,,,,,,279,13408.40357
,,,,,,,,280,14354.09647
,,,,,,,,281,15432.18231
,,,,,,,,282,16234.14728
,,,,,,,,283,16518.78887
,,,,,,,,284,16667.98851
,,,,,,,,285,16017.69689
,,,,,,,,286,14994.17247
,,,,,,,,287,13998.55686
,,,,,,,,288,13094.47474
,,,,,,,,289,12443.43141
,,,,,,,,290,12030.4912
,,,,,,,,291,11806.2359
,,,,,,,,292,11741.80187
,,,,,,,,293,11771.55674
,,,,,,,,294,12011.60734
,,,,,,,,295,12282.87098
,,,,,,,,296,12563.99424
,,,,,,,,297,12713.39702
,,,,,,,,298,12442.7251
,,,,,,,,299,12139.35847
,,,,,,,,300,12174.42185
,,,,,,,,301,12387.63806
,,,,,,,,302,12642.57142
,,,,,,,,303,13322.77815
,,,,,,,,304,14336.02759
,,,,,,,,305,15619.6374
,,,,,,,,306,16431.7709
,,,,,,,,307,16681.60536
,,,,,,,,308,16809.08513
,,,,,,,,309,16239.44424
,,,,,,,,310,15319.1845
,,,,,,,,311,14164.91304
,,,,,,,,312,13194.28496
,,,,,,,,313,12466.0123
,,,,,,,,314,12096.66492
,,,,,,,,315,11893.79901
,,,,,,,,316,11760.9544
,,,,,,,,317,11883.46623
,,,,,,,,318,12176.84509
,,,,,,,,319,12553.79638
,,,,,,,,320,12939.0401
,,,,,,,,321,13293.33892
,,,,,,,,322,13176.02813
,,,,,,,,323,12547.64947
,,,,,,,,324,12739.88151
,,,,,,,,325,13051.21552
,,,,,,,,326,13289.20017
,,,,,,,,327,14107.14821
,,,,,,,,328,14776.53053
,,,,,,,,329,15890.55932
,,,,,,,,330,16586.17218
,,,,,,,,331,16648.86464
,,,,,,,,332,16714.47919
,,,,,,,,333,16201.12701
,,,,,,,,334,15241.40899
,,,,,,,,335,14296.43773
,,,,,,,,336,13388.59503
,,,,,,,,337,12702.7885
,,,,,,,,338,12264.13106
,,,,,,,,339,11903.95754
,,,,,,,,340,11777.13523
,,,,,,,,341,11759.95525
,,,,,,,,342,11587.61175
,,,,,,,,343,11380.92049
,,,,,,,,344,11351.4726
,,,,,,,,345,11501.58093
,,,,,,,,346,11565.6382
,,,,,,,,347,11459.57552
,,,,,,,,348,11823.46818
,,,,,,,,349,11925.96574
,,,,,,,,350,12472.36858
,,,,,,,,351,13293.44862
,,,,,,,,352,14213.58414
,,,,,,,,353,15346.88991
,,,,,,,,354,16416.67667
,,,,,,,,355,17001.23465
,,,,,,,,356,17146.64369
,,,,,,,,357,16583.88672
,,,,,,,,358,15525.44769
,,,,,,,,359,14580.69524
,,,,,,,,360,13669.64763
,,,,,,,,361,13040.42509
,,,,,,,,362,12633.00901
,,,,,,,,363,12310.98225
,,,,,,,,364,11998.63385
,,,,,,,,365,11867.42753
,,,,,,,,366,11850.49938
,,,,,,,,367,11663.44072
,,,,,,,,368,11466.96525
,,,,,,,,369,11653.96625
,,,,,,,,370,11482.03048
,,,,,,,,371,11433.70021
,,,,,,,,372,11630.85577
,,,,,,,,373,11974.74372
,,,,,,,,374,12469.95255
,,,,,,,,375,13419.2333
,,,,,,,,376,14758.88243
,,,,,,,,377,16351.39838
,,,,,,,,378,17541.2211
,,,,,,,,379,17720.90252
,,,,,,,,380,17878.20906
,,,,,,,,381,17262.41084
,,,,,,,,382,16343.96216
,,,,,,,,383,15099.06588
,,,,,,,,384,14010.53689
,,,,,,,,385,13264.00533
,,,,,,,,386,12784.93663
,,,,,,,,387,12533.52582
,,,,,,,,388,12334.31616
,,,,,,,,389,12452.98739
,,,,,,,,390,12822.20233
,,,,,,,,391,13552.55092
,,,,,,,,392,14020.7553
,,,,,,,,393,14374.87496
,,,,,,,,394,14374.97538
,,,,,,,,395,14583.92976
,,,,,,,,396,15066.06579
,,,,,,,,397,15554.23063
,,,,,,,,398,16040.69025
,,,,,,,,399,16465.614
,,,,,,,,400,17525.49674
,,,,,,,,401,18757.75078
,,,,,,,,402,19266.96263
,,,,,,,,403,18914.60826
,,,,,,,,404,18885.80819
,,,,,,,,405,18107.06191
,,,,,,,,406,17020.00766
,,,,,,,,407,15612.82055
,,,,,,,,408,14400.84035
,,,,,,,,409,13679.88707
,,,,,,,,410,13214.68139
,,,,,,,,411,12924.70461
,,,,,,,,412,12848.8149
,,,,,,,,413,12823.01682
,,,,,,,,414,13159.75021
,,,,,,,,415,13775.06709
,,,,,,,,416,14604.77088
,,,,,,,,417,15181.62936
,,,,,,,,418,14988.56771
,,,,,,,,419,14762.75047
,,,,,,,,420,15074.37142
,,,,,,,,421,15166.52542
,,,,,,,,422,15777.42343
