Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,194,13355.94787
,,,,,,,,195,12971.77668
,,,,,,,,196,12734.68762
,,,,,,,,197,12561.18268
,,,,,,,,198,12410.65256
,,,,,,,,199,12114.01156
,,,,,,,,200,11702.65021
,,,,,,,,201,11737.20961
,,,,,,,,202,11336.96118
,,,,,,,,203,11148.69414
,,,,,,,,204,10855.84474
,,,,,,,,205,11478.37801
,,,,,,,,206,12346.93951
,,,,,,,,207,13512.60062
,,,,,,,,208,14649.50494
,,,,,,,,209,15738.78009
,,,,,,,,210,16548.39929
,,,,,,,,211,17035.73852
,,,,,,,,212,16973.01506
,,,,,,,,213,16511.04957
,,,,,,,,214,16461.06608
,,,,,,,,215,15618.20955
,,,,,,,,216,14666.87108
,,,,,,,,217,13788.14498
,,,,,,,,218,13105.40064
,,,,,,,,219,12729.35898
,,,,,,,,220,12531.09421
,,,,,,,,221,12571.95953
,,,,,,,,222,12764.6052
,,,,,,,,223,13097.8428
,,,,,,,,224,13131.19226
,,,,,,,,225,12836.67689
,,,,,,,,226,12117.73528
,,,,,,,,227,11574.34093
,,,,,,,,228,11253.76889
,,,,,,,,229,11661.0475
,,,,,,,,230,12339.74594
,,,,,,,,231,13467.25635
,,,,,,,,232,14748.54459
,,,,,,,,233,16314.50498
,,,,,,,,234,17036.34601
,,,,,,,,235,17098.26066
,,,,,,,,236,17049.82857
,,,,,,,,237,16644.4945
,,,,,,,,238,16743.86096
,,,,,,,,239,15803.80025
,,,,,,,,240,14808.05486
,,,,,,,,241,13868.55046
,,,,,,,,242,13233.26042
,,,,,,,,243,12829.05441
,,,,,,,,244,12613.87919
,,,,,,,,245,12672.64816
,,,,,,,,246,12861.40453
,,,,,,,,247,13062.87217
,,,,,,,,248,12999.35969
,,,,,,,,249,12651.45345
,,,,,,,,250,12136.45644
,,,,,,,,251,11764.69734
,,,,,,,,252,11261.7823
,,,,,,,,253,11364.23287
,,,,,,,,254,11883.94324
