Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,0,1,0,2000,1,8760,1,1,12393.26985
,,,,,,,,2,12064.72799
,,,,,,,,3,11725.35435
,,,,,,,,4,11631.15663
,,,,,,,,5,11559.09021
,,,,,,,,6,11511.52178
,,,,,,,,7,11393.62935
,,,,,,,,8,11289.70643
,,,,,,,,9,11555.93247
,,,,,,,,10,11696.03118
,,,,,,,,11,11654.30818
,,,,,,,,12,12043.66231
,,,,,,,,13,11860.01622
,,,,,,,,14,11736.72788
,,,,,,,,15,12406.32032
,,,,,,,,16,12574.44783
,,,,,,,,17,13190.23323
,,,,,,,,18,14029.71746
,,,,,,,,19,14672.26572
,,,,,,,,20,14963.67336
,,,,,,,,21,14454.26389
,,,,,,,,22,13787.23755
,,,,,,,,23,13324.77625
,,,,,,,,24,12717.61265
,,,,,,,,25,12093.54126
,,,,,,,,26,11666.76903
,,,,,,,,27,11423.23978
,,,,,,,,28,11361.63145
,,,,,,,,29,11266.32839
,,,,,,,,30,11175.26628
,,,,,,,,31,10604.94384
,,,,,,,,32,10083.2902
,,,,,,,,33,9913.427892
,,,,,,,,34,10007.21509
,,,,,,,,35,10311.34734
,,,,,,,,36,10911.10968
,,,,,,,,37,10904.85452
,,,,,,,,38,10246.48861
,,,,,,,,39,11944.02097
,,,,,,,,40,12580.20872
,,,,,,,,41,13457.26063
,,,,,,,,42,14725.61296
,,,,,,,,43,15417.42101
,,,,,,,,44,15689.47436
,,,,,,,,45,15169.47021
,,,,,,,,46,14301.1188
,,,,,,,,47,13810.3279
,,,,,,,,48,12935.62725
,,,,,,,,49,12212.66137
,,,,,,,,50,11865.68412
,,,,,,,,51,11589.32639
,,,,,,,,52,11471.05417
,,,,,,,,53,11532.59131
,,,,,,,,54,11510.53013
,,,,,,,,55,11129.44421
,,,,,,,,56,10655.73564
,,,,,,,,57,10215.29449
,,,,,,,,58,9898.735598
,,,,,,,,59,10226.59735
,,,,,,,,60,10918.25208
,,,,,,,,61,11780.82062
,,,,,,,,62,12391.21066
,,,,,,,,63,12428.42794
,,,,,,,,64,13157.39862
,,,,,,,,65,14301.89701
,,,,,,,,66,15670.16221
,,,,,,,,67,16559.26814
,,,,,,,,68,16496.55131
,,,,,,,,69,15759.83213
,,,,,,,,70,14868.24504
,,,,,,,,71,14175.11325
,,,,,,,,72,13295.38572
,,,,,,,,73,12576.19588
,,,,,,,,74,12129.89022
,,,,,,,,75,11826.32828
,,,,,,,,76,11774.04366
,,,,,,,,77,11877.28116
,,,,,,,,78,11978.95739
,,,,,,,,79,12204.78624
,,,,,,,,80,12149.95641
,,,,,,,,81,12193.11182
,,,,,,,,82,12426.57194
,,,,,,,,83,12777.07546
,,,,,,,,84,13398.73849
,,,,,,,,85,14075.10605
,,,,,,,,86,14596.34664
,,,,,,,,87,14999.07264
,,,,,,,,88,16068.88041
,,,,,,,,89,16737.15555
,,,,,,,,90,17974.5118
,,,,,,,,91,18417.8305
,,,,,,,,92,18202.78574
,,,,,,,,93,17407.72014
,,,,,,,,94,16166.34155
,,,,,,,,95,15058.90044
,,,,,,,,96,14051.03481
,,,,,,,,97,13235.38657
,,,,,,,,98,12695.71342
,,,,,,,,99,12401.79297
,,,,,,,,100,12223.93936
,,,,,,,,101,12313.89133
,,,,,,,,102,12539.59718
,,,,,,,,103,12780.05612
,,,,,,,,104,13024.68132
,,,,,,,,105,13231.03937
,,,,,,,,106,13507.30264
,,,,,,,,107,13398.92124
,,,,,,,,108,13314.49937
,,,,,,,,109,13977.56748
,,,,,,,,110,14526.46278
,,,,,,,,111,15233.16625
,,,,,,,,112,16271.81442
,,,,,,,,113,17069.37044
,,,,,,,,114,17493.13644
,,,,,,,,115,17920.41092
,,,,,,,,116,17767.8941
,,,,,,,,117,17018.66168
,,,,,,,,118,16096.77078
,,,,,,,,119,15157.60092
,,,,,,,,120,14210.55341
,,,,,,,,121,13379.14795
,,,,,,,,122,12788.85652
,,,,,,,,123,12525.42253
,,,,,,,,124,12414.83672
,,,,,,,,125,12527.60265
,,,,,,,,126,12863.5186
,,,,,,,,127,13119.08597
,,,,,,,,128,13371.16623
,,,,,,,,129,13461.57765
,,,,,,,,130,13724.49798
,,,,,,,,131,13922.00566
,,,,,,,,132,13929.00489
,,,,,,,,133,14425.47678
,,,,,,,,134,15142.17196
,,,,,,,,135,15149.1289
,,,,,,,,136,15650.75485
,,,,,,,,137,16903.04209
,,,,,,,,138,17589.78618
,,,,,,,,139,17822.23399
,,,,,,,,140,17639.76297
,,,,,,,,141,17054.14022
,,,,,,,,142,15951.68399
,,,,,,,,143,15185.82964
,,,,,,,,144,14213.92436
,,,,,,,,145,13478.89033
,,,,,,,,146,13017.40319
,,,,,,,,147,12740.63149
,,,,,,,,148,12622.07227
,,,,,,,,149,12776.25678
,,,,,,,,150,13125.33303
,,,,,,,,151,13731.50073
,,,,,,,,152,14144.28411
,,,,,,,,153,14616.06759
,,,,,,,,154,14624.98166
,,,,,,,,155,14826.37168
,,,,,,,,156,14915.33489
,,,,,,,,157,15284.60623
,,,,,,,,158,15580.78244
