Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929484,-20.724209818964045
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929417,-7.91072803305304
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892939,4.819821933982169
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892937,4.8198219339831665
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892936,4.8198219339834845
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929345,4.819821933983439
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929313,4.819821933983371
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929306,4.819821933982074
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929303,-18.300792899546277
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929303,-18.73409783441216
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929303,-19.842370225524583
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892928,-22.735268656244386
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892928,-22.73526865624628
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929274,-22.73526865624717
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892927,-22.735268656247687
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892926,-22.735268656248003
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929228,-22.735268656247726
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929218,-22.735268656247744
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929203,-22.735268656247623
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892919,-22.735268656247346
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929164,-22.735268656246877
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929118,-22.735268656245186
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929093,-22.735268656243417
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892907,-19.33147834750079
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929043,-7.693500894737918
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728929022,4.819821933980496
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928976,4.819821933984737
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892896,4.819821933985523
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892895,4.819821933985855
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928944,4.819821933985909
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928937,4.819821933985713
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,4.81982193398554
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,4.819821933984376
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,4.819821933978759
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928916,-18.436346547572207
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928923,-22.735268656245115
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,-22.735268656247214
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,-22.735268656248333
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928912,-22.735268656248767
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7998567289289,-22.735268656248945
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928894,-22.73526865624897
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928862,-22.735268656248312
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928848,-22.735268656248056
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928834,-22.73526865624765
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892881,-22.735268656247055
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928795,-22.73526865624616
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892874,-22.7352686562431
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928717,-20.637134038155555
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892869,-18.32884709479385
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928674,-6.490309710881766
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928653,4.819821933982436
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928617,4.819821933984635
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928606,4.819821933985071
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7998567289286,4.819821933985169
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928592,4.81982193398498
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892859,4.819821933984403
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892857,4.819821933983139
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892857,-17.905037712199626
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928575,-19.567947711520294
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928575,-22.73526865625322
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928578,-22.735268656262512
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928557,-22.73526865626292
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892855,-22.73526865626251
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.79985672892854,-22.735268656261812
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928525,-22.73526865626103
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.799856728928507,-22.735268656260175
