Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,932.784305807634,6.803483086771808e-11,7193.215694192434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,1.430654360000125e-8,1.430654360000125e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,782.6206757780695,3.682494676627541e-11,815.2793242219674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,2.5997424820922138e-8,2.5997424820922138e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4999994179204,2.359635809957689e-9,5.844392489962047e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,1.8568962399918765e-12,17161.055685734053,17987.46368573405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,4.202056603178592e-12,20269.692928957204,22068.3199289572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,2.7139446453450164e-8,2.7139446453450164e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,2.7515912507185375e-12,6170.446634421612,6910.446634421609,6770.0,1.2664037707393474e-10,148577.22586547397,155347.22586547385,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,7.512973260213095e-12,1227.2630127976345,1327.263012797627,150.0,2.037937098029016e-11,5059.000932740635,5209.000932740615,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3703.9049810036404,44828.45826198041,56301.98828097677,6920.0,1.470197480542249e-10,153636.2267982146,160556.22679821448,0.0,0.0,0.0,0.0
