Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826898879745873,-20.01020031745369
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.82689934111962,-20.010228828153316
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.82689965014678,-20.010258373987824
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826899800115182,-20.010272575041505
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.8268997871926,-20.010247746881188
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.82689816005024,-20.010032931648443
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826897836393883,-20.009761508822997
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826897480438802,-18.346924829303827
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.82689713523469,-16.260995010269436
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826896861258767,-8.33088432768217
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826895136479134,4.886112856012613
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826895039867424,4.886181695542234
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826895065633913,4.886199145095181
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826895194890728,4.8861846030048515
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.826895413976224,4.88612768180468
