Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0896343991800845e7,2.7980393225970287e6,2.369438331439787e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.431895244446544,96.28389422806853,136.71578947251507
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.523878917112167,70.59968502625473,101.1235639433669
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2296915225178,58.33857315369946,84.56826467621725
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19401470510349,40.03368997993007,61.22770468503356
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.261440745253285,31.60539484585855,49.86683559111184
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26461445253714,33.967105564219864,57.231720016757
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.99170555757792,153.2400104388952,238.23171599647313
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1008127898126,77.15008413038981,149.25089692020242
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917.9091989232456,122.57971523010559,2040.4889141533513
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5554.44859943863,0.00040212711050730893,5554.44900156574
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.2844136027925,1246.6701151032275,8435.954528706021
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.284414058259,1102.7388396545718,8292.02325371283
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.284411365258,1078.171352945381,8267.455764310638
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.284411331105,1084.9422526266972,8274.226663957801
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.284407184839,1074.0163802168727,8263.300787401713
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7189.284408810387,1040.9682599407301,8230.252668751116
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4255.693920805007,96.9475109434477,4352.641431748455
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8948578680039,78.22620736354664,160.12106523155052
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.78406550814638,75.2671912764939,149.0512567846403
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.07051584845848,78.37107935396419,150.44159520242266
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20433973405754,88.58438924894543,167.78872898300295
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5976158391077,88.0220835448798,164.6196993839875
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86117301140153,86.79179764466927,161.6529706560708
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92216543730063,86.37919577960612,161.30136121690674
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.95319632651811,83.32494134980642,154.27813767632455
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.43452006598802,88.01666135446382,164.45118142045186
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2440665494735,86.25677481844956,161.50084136792304
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93010565116982,83.75061959089008,158.6807252420599
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37542376692276,79.6965297057597,153.07195347268248
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.21903199755849,72.84350505867093,142.06253705622942
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.05993172314257,58.092956461735014,139.15288818487758
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5010.045159217052,0.00032287424658364983,5010.045482091298
