BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1519140663084719e8,1.7554306959608383e7,-2.279068759069416e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502599977693e8
t1,5899.888088948409,6286.669701099948,-4.869505775201015e-8,0.0,0.0,0.0,0.0,0.0,0.0,-12186.55779
t2,5072.4647594045655,6831.699300643959,-4.869147333782101e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11904.16406
t3,4388.941139346736,7189.773030701968,-4.8688538870204154e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11578.71417
t4,3795.354837717572,7656.987522330796,-4.8652861578986735e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11452.34236
t5,3507.555418745333,7859.305971303574,-4.883641501402737e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11366.86139
t6,3521.303545106306,7782.561694943192,-4.894723965139334e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11303.86524
t7,5793.429237893822,5402.76354215495,-4.8919165019712607e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11196.19278
t8,9906.298457165645,1510.565122874175,-3.98905960133283e-8,0.0,0.0,0.0,0.0,0.0,0.0,-11416.86358
t9,13817.224719646543,4.9136214727434925e-8,-1769.439279695804,0.0,0.0,0.0,0.0,0.0,0.0,-12047.78544
t10,17127.472708986996,1.0446224456236963e-7,-4824.047309091513,0.0,0.0,0.0,0.0,0.0,0.0,-12303.4254
t11,20225.60343663533,1.3834463599239567e-8,-8237.709646648142,0.0,0.0,0.0,0.0,0.0,0.0,-11987.89379
t12,20280.611874577095,174.64262618274125,-8063.067020755055,0.0,0.0,0.0,0.0,0.0,0.0,-12392.18748
t13,19824.84541831518,187.98046430926743,-8049.729182623677,0.0,0.0,0.0,0.0,0.0,0.0,-11963.0967
t14,19619.985923771488,190.35909658110117,-8047.350550352576,0.0,0.0,0.0,0.0,0.0,0.0,-11762.99447
t15,20371.342587086132,197.17122992374138,-8040.538417009903,0.0,0.0,0.0,0.0,0.0,0.0,-12527.9754
t16,20354.000507022687,291.7129999764318,-7945.996647011312,0.0,0.0,0.0,0.0,0.0,0.0,-12699.71686
t17,16974.024609093954,9.639015464995384e-8,-3791.052119190484,0.0,0.0,0.0,0.0,0.0,0.0,-13182.97249
