Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2961937094754674e7,0.21001073914833268,163293.1781862374,0.11339302717786039,0.5775186685958105,5.4074154014509e7,3.842676951227913e7,1.1706688513647148,0.0,1.6596881349730922e7,2.264801378860464e6,1.3448783859991172e8
t1,1.4239226576580608e-5,9.114846587575573e-6,6.905574086646388e-6,6.230245322901521e-6,5.178847560428346e-6,6204.619473950421,0.0,4.262061372645039e-5,0.0,7118.987487683885,266.22419280441346,13589.831238728071
t2,1.4500014216185764e-5,9.11285712807073e-6,6.944206338308261e-6,6.232109579458361e-6,5.241592722046263e-6,5334.459398783887,0.0,4.260039547849876e-5,0.0,7218.688128153164,426.7484172493514,12979.896028817579
t3,1.4570956850641458e-5,9.105723790271304e-6,6.958254853879952e-6,6.235977354688799e-6,5.258226934389443e-6,4615.6315138493055,0.0,4.2576398052211554e-5,0.0,7265.057104998472,609.1685104402285,12489.857213993542
t4,1.464960402413739e-5,9.100164089589978e-6,6.969635483094868e-6,6.2391456982214115e-6,5.27159303164802e-6,3991.3862468129378,0.0,4.257110455909923e-5,0.0,7322.635341724919,917.573354330525,12231.59502766963
t5,1.5000275166987762e-5,9.088708557413387e-6,7.009321403681078e-6,6.240967161369908e-6,5.339445450329993e-6,3688.7218754710657,0.0,4.261294176032101e-5,0.0,7344.084767108299,996.151930629933,12028.958658500957
t6,1.4078826527465401e-5,9.100421435529326e-6,6.865736365188073e-6,6.210765338926433e-6,5.118234844430586e-6,3215.8087964355477,447.30389551337834,4.239446263713571e-5,0.0,7307.730966234324,923.6265738402744,11894.470315791972
t7,1.4120744650022486e-5,9.105601538302095e-6,6.90635450601621e-6,6.213399463185631e-6,5.180689689476395e-6,2913.1444246264105,2918.126252869907,4.325035817032191e-5,0.0,6058.896196299997,93.42725506060586,11983.59421363407
t8,1.3978205691558642e-5,9.110476148178109e-6,6.9251171139715355e-6,6.226875061229815e-6,5.198272268978367e-6,2875.311380486362,6922.562490039631,4.4281027825428544e-5,0.0,1696.1639943584844,157.6098982983309,11651.647848902783
t9,1.410543008959195e-5,9.15150633773736e-6,6.962992719851993e-6,6.254264892060142e-6,5.234791800642138e-6,2648.313100007111,10905.69855042107,4.52534949570785e-5,0.0,236.9206438494957,177.5874140597963,13968.519795299953
t10,1.4463269533159828e-5,9.185985447440213e-6,7.050833637818419e-6,6.299999727697172e-6,5.308472630438659e-6,2648.3131039875675,14100.727470651127,4.483286857614075e-5,0.0,170.39810966154513,403.07706089060406,17322.515832332272
t11,1.29191342859567e-5,8.669343062791465e-6,6.6494384229187276e-6,6.064750923760881e-6,5.025485738824157e-6,5956.072214749704,13216.227297963302,3.644244089189029e-5,0.0,9.16696029538258e-5,0.00034843182374849564,19172.300028585025
t12,1.3065243830659569e-5,8.65876665786145e-6,6.690531149366969e-6,6.0612546434015815e-6,5.079273524836969e-6,6064.115095652293,12873.889695725496,3.541398572921553e-5,0.0,9.180669637267485e-5,118.06483230705548,19056.0697904606
t13,1.3092548227274715e-5,8.679674938166474e-6,6.701678436198004e-6,6.0618981712883535e-6,5.09170033891358e-6,6450.22643686559,12303.241033495056,3.530945739331628e-5,0.0,9.176807608611197e-5,126.02587896822911,18879.493516033912
t14,1.3121998092941354e-5,8.697189054449794e-6,6.712070782233293e-6,6.063782618569013e-6,5.102482642289594e-6,7257.774573218921,11728.843186331733,3.5350399402558897e-5,0.0,9.236958662893466e-5,132.77901837349808,19119.39694534166
t15,1.3314110007344166e-5,8.68413709454322e-6,6.748408522720582e-6,6.058674727276969e-6,5.155351816826432e-6,8855.145505347675,11264.562740068362,3.5458498728596546e-5,0.0,9.296818310328108e-5,152.83012897135666,20272.53854277476
t16,1.2791671744039334e-5,8.668731153516907e-6,6.6219010872049145e-6,6.036934501758396e-6,4.999773178659285e-6,10694.015872417,9860.915347908176,3.621889433019624e-5,0.0,9.06036058436236e-5,175.77403996338006,20730.70542623007
t17,1.4159354748092627e-5,9.170774090905555e-6,6.984226768643953e-6,6.2712842715598665e-6,5.247037391644169e-6,11236.414661522105,6070.554783402017,4.405161067555217e-5,0.0,191.26121199819582,468.3781384751714,17966.60888128178
t18,1.4092806476161167e-5,9.178685396125368e-6,6.984182717969624e-6,6.252878242933161e-6,5.2606909072165444e-6,11539.079031166757,2002.2179714133792,4.471576960744415e-5,0.0,547.2087583504834,407.60426205262013,14496.110109468254
t19,1.4051609735260628e-5,9.183256094039836e-6,6.996360743296498e-6,6.247591023983876e-6,5.275149042768974e-6,11028.33290409132,149.10119289395124,4.458904701612812e-5,0.0,3435.86284637446,457.6468474531975,15070.943877155943
t20,1.4343493221208771e-5,9.171027006681805e-6,7.050328052227585e-6,6.271266010276861e-6,5.377882053975155e-6,10177.089359310788,0.0,4.446913069603283e-5,0.0,4703.72649047994,403.2577219414886,15284.073658415346
t21,1.3943541707484398e-5,9.171374715771976e-6,6.947829146992627e-6,6.266611254256037e-6,5.219054600828925e-6,10063.590221238599,0.0,4.4211224279455285e-5,0.0,4389.246184136556,314.2308293961525,14767.067320530945
t22,1.4068225161974523e-5,9.162995860807566e-6,6.983094780405197e-6,6.2640493160969576e-6,5.276267279450718e-6,9685.259756460244,0.0,4.4246080840759796e-5,0.0,5121.068948082035,323.64439119868723,15129.97318174168
t23,1.4071290948657246e-5,9.159332308789527e-6,6.988518629250007e-6,6.261498225094452e-6,5.282228599308927e-6,8890.765780661828,0.0,4.427928356613893e-5,0.0,5523.946638569937,337.9314887145979,14752.643993988515
t24,1.4100207254132148e-5,9.158659389616747e-6,6.998737439654462e-6,6.263646092215962e-6,5.294956095531697e-6,8682.684024902228,0.0,4.4332088234350383e-5,0.0,5143.37456181017,310.9291757128401,14136.987848573533
t25,1.4268101717248442e-5,9.146272389386652e-6,7.03748699528628e-6,6.260430195065595e-6,5.35654263972315e-6,7528.776105895269,0.0,4.440090317324048e-5,0.0,5522.026842469797,340.2828049109511,13391.085839745754
t26,1.3844833704128711e-5,9.132584663048595e-6,6.8946112287936695e-6,6.244576772214084e-6,5.149175969218938e-6,6753.198652149668,0.0,4.4154354038670015e-5,0.0,5647.312565434336,339.0730521175904,12739.584355121731
t27,1.3992308856400427e-5,9.122372824721713e-6,6.938712083799332e-6,6.246468088973591e-6,5.2208233968440664e-6,6772.115175041623,0.0,4.424527818814741e-5,0.0,5273.542280430034,340.1921564997735,12385.849697737394
t28,1.402007222239343e-5,9.108958222827626e-6,6.948672896621405e-6,6.250257782497176e-6,5.23171031895809e-6,7074.779548231471,0.0,4.432564677038215e-5,0.0,4790.992118277409,351.78541789640616,12217.557170290604
t29,1.4047951451129862e-5,9.101740577062379e-6,6.9458868280082034e-6,6.247178311107555e-6,5.231671901892241e-6,7074.779548183684,0.0,4.442275494401071e-5,0.0,4535.031389825478,392.8618696827762,12002.672893689123
t30,1.4096179177223931e-5,9.10901113245259e-6,6.97240736343837e-6,6.215082462686407e-6,5.262811540684224e-6,6923.447362409314,404.7035087760006,4.4714774414828257e-5,0.0,3998.195511045705,466.21019941428,11792.556668015564
t31,1.3801811399920549e-5,9.119900674663781e-6,6.825248528377314e-6,6.213536318059524e-6,5.082219007334953e-6,7131.529120076005,2811.6252936230417,4.4866961541140736e-5,0.0,697.6199765927026,527.9618012913498,11168.736277492777
t32,1.406926617360168e-5,9.121082959360711e-6,6.91588311394711e-6,6.253927509373367e-6,5.174987785407029e-6,7717.941342732419,7156.864619983248,4.4562800353388576e-5,0.0,201.48588919165604,523.1383550570721,15599.430293062343
t33,1.290807041521112e-5,8.611928821885906e-6,6.623617165470185e-6,6.017412159300535e-6,5.02303932132197e-6,7285.28783439911,10985.143770162727,3.6518005756790517e-5,0.0,9.294321291663293e-5,0.000275446530258006,18270.432048653656
t34,1.3026087318614489e-5,8.64004758354799e-6,6.668118463872487e-6,6.042069885525465e-6,5.066138652287754e-6,5801.817359496973,11738.40653056051,3.563456971191389e-5,0.0,9.420615214403893e-5,215.1640479172473,17755.388107257913
t35,1.3254357850815748e-5,8.660457687101585e-6,6.725274194553138e-6,6.055392261052293e-6,5.124839910384452e-6,5455.265313161673,11873.42989205794,3.556819734120232e-5,0.0,9.48756887286498e-5,250.32286811885288,17579.018243602673
t36,1.2860511162156223e-5,8.669659203628424e-6,6.6386722633153e-6,6.064535566383012e-6,5.009454048980542e-6,5708.3037794008505,11810.178559828268,3.5514663666468474e-5,0.0,9.317731222490438e-5,261.5497480087937,17780.03225517272
t37,1.306319203622015e-5,8.671160659203537e-6,6.6875712954682244e-6,6.067825387646766e-6,5.074349242072751e-6,6138.710225412089,11366.55026266761,3.55472985982315e-5,0.0,9.385892547434115e-5,272.5485158396109,17777.809172889632
t38,1.309995934822739e-5,8.689563528076881e-6,6.700394722126153e-6,6.070049401467414e-6,5.087237689880151e-6,6713.981311816678,10546.140833328624,3.554473069237703e-5,0.0,9.396437283609357e-5,250.90719895569566,17511.0295132573
t39,1.3121045809511651e-5,8.700715095611157e-6,6.7066285329123985e-6,6.067027429222488e-6,5.100268606198108e-6,8586.70314628456,10911.5570842478,3.5630433863571124e-5,0.0,9.388860969346048e-5,232.40447704085707,19730.66487678795
t40,1.3266782595201865e-5,8.6971280179593e-6,6.738212646649744e-6,6.0522142122859276e-6,5.144770216516042e-6,10656.78581158602,9686.500763157383,3.652025949744387e-5,0.0,9.297961077796165e-5,284.4768016210624,20627.76354576344
t41,1.402300844788836e-5,9.184946757104262e-6,6.952876421104488e-6,6.280841217022548e-6,5.195784144295767e-6,11482.329463595872,5921.453435161668,4.414945146038433e-5,0.0,192.05939139259723,480.2763472938512,18076.118723230895
t42,1.4101858149232868e-5,9.17798792540403e-6,6.9840557517108155e-6,6.260372123386761e-6,5.2606512604203055e-6,11993.075588298936,2130.019127409338,4.48311151274232e-5,0.0,625.4924396927943,423.70923733195787,15172.296479349066
t43,1.4058184929389175e-5,9.179493126954293e-6,6.9955263685273535e-6,6.2531331200688724e-6,5.27479720989883e-6,11501.2459842681,170.40138581740078,4.469973474029666e-5,0.0,3706.7678453566423,442.5335253545862,15820.948827257598
t44,1.4141589580691262e-5,9.174980415038178e-6,7.004241793406317e-6,6.270663206185541e-6,5.3045047990847905e-6,10120.339789914062,0.0,4.4541140377844093e-5,0.0,5451.733729837188,423.72859082559984,15995.802197013969
t45,1.435810012901381e-5,9.18171370658233e-6,7.0710821735418186e-6,6.277690465555101e-6,5.398884684135165e-6,10120.33978967898,0.0,4.4589205652884136e-5,0.0,4970.4631284764555,360.26485717618584,15451.067862208296
t46,1.395068966169165e-5,9.177407522284585e-6,6.954402356541437e-6,6.2686673879606135e-6,5.227408934073597e-6,10177.089360294447,0.0,4.433073683909346e-5,0.0,5158.620223776311,312.237081002192,15647.946750982263
t47,1.407406167532975e-5,9.165340471712653e-6,6.984005189248323e-6,6.265205148405638e-6,5.2772106426496805e-6,9552.844093815609,0.0,4.438409598333577e-5,0.0,5370.415816935056,324.09927752330475,15247.359274423889
t48,1.406520390114284e-5,9.158035315142855e-6,6.98371616617151e-6,6.260317759654108e-6,5.275278392760976e-6,8342.186606829899,0.0,4.443388547831411e-5,0.0,5645.796033344624,347.6210818639555,14335.603808214915
t49,1.4086434951275052e-5,9.155712251669723e-6,6.991862706219445e-6,6.261514062283444e-6,5.284510200305015e-6,7926.023095080416,0.0,4.449529904727846e-5,0.0,5266.575015044357,326.43261880974813,13519.030815209855
t50,1.4283159205150116e-5,9.142382830584341e-6,7.03714519266956e-6,6.263580328148375e-6,5.354547065524117e-6,7585.525675965902,0.0,4.457833002791422e-5,0.0,5025.758013068435,332.6303721952864,12943.914147888769
t51,1.3844789923555703e-5,9.12856079237263e-6,6.890638397003626e-6,6.247437752374194e-6,5.1433955076893015e-6,6942.363886013936,0.0,4.4331906788245355e-5,0.0,5263.515276488103,345.814133964333,12551.693382053101
t52,1.399618992451636e-5,9.114625623498727e-6,6.9335554461789e-6,6.247945589812588e-6,5.2127883365831436e-6,7018.029978784694,0.0,4.441619703147269e-5,0.0,4933.138847037709,373.92996712697317,12325.098878870678
t53,1.4022171892061907e-5,9.100716549064601e-6,6.931196154425873e-6,6.245358950701264e-6,5.2132764963003486e-6,7245.028257945751,0.0,4.4514548050491844e-5,0.0,4605.897580335856,417.9738025609808,12268.899726869855
t54,1.396107949280191e-5,9.121328178004513e-6,6.931513775079462e-6,6.2066889687679624e-6,5.213145684276995e-6,6110.036859977614,426.00370146880357,4.4798132649004e-5,0.0,5032.871435158582,536.0086321724749,12104.920715009364
t55,1.4185657362754043e-5,9.139272497232744e-6,6.986506837046233e-6,6.230717604121469e-6,5.277086680165147e-6,7982.7726656136365,2854.2256791770697,4.527917986697431e-5,0.0,475.5482944607352,429.1322089952531,11741.678935345115
t56,1.40639641471062e-5,9.177145981464493e-6,6.926683141557144e-6,6.2947523607139245e-6,5.160673157279968e-6,10063.59022443601,6943.8626899700075,4.472610709537151e-5,0.0,93.06203397688593,383.13165906100807,17483.64669379324
t57,1.2978230011237672e-5,8.647401336884774e-6,6.65409020017637e-6,6.039259513471957e-6,5.040985575424513e-6,9309.610737741246,9272.19054093245,3.6462500137865324e-5,0.0,9.15035990394013e-5,0.0002716254427523929,18581.801717625207
t58,1.306033878694364e-5,8.664505156279085e-6,6.68456251690943e-6,6.0560332408719234e-6,5.0717684020829066e-6,7508.6341128982895,10086.692728994356,3.55787973165195e-5,0.0,9.180483324382298e-5,136.46260609116501,17731.789614904646
t59,1.310904092458278e-5,8.68826145950651e-6,6.70241085810023e-6,6.061960773075141e-6,5.091816864519977e-6,6847.948098809578,10615.908334853764,3.545750893359482e-5,0.0,9.200780229626268e-5,142.76913065703744,17606.62573143918
t60,1.3330176284058453e-5,8.683079016280325e-6,6.745427671183966e-6,6.06327612602052e-6,5.152007576136201e-6,6675.309375662026,11071.820681384597,3.5491364115663405e-5,0.0,9.261975627887803e-5,152.44233775483934,17899.57256288655
t61,1.2829687240047544e-5,8.661405354554514e-6,6.6260042128533325e-6,6.051747947260924e-6,4.995469249000684e-6,6889.677390135157,11767.94344279927,3.554911087017649e-5,0.0,9.09403414670753e-5,137.3615402668867,18794.98253885508
t62,1.2977756190826392e-5,8.655750463066804e-6,6.651219355153462e-6,6.040100884477336e-6,5.03616767488722e-6,7489.10953472364,12147.098790063794,3.653861578300466e-5,0.0,9.133846791482676e-5,136.4383295360532,19772.646821561564
t63,1.423086432722218e-5,9.178037714081484e-6,6.973856780051668e-6,6.272384667724432e-6,5.230098212218598e-6,8928.598795723534,10138.891567219609,4.4658113569903175e-5,0.0,31.33904143556719,431.8480813288731,19530.67757225094
t64,1.4221730606324925e-5,9.21047072774058e-6,7.000698191343878e-6,6.2677446861911015e-6,5.271871205255825e-6,9647.426711718212,7348.566353376088,4.596605334754315e-5,0.0,212.05349813007848,488.20086647955804,17696.247517642503
t65,1.4331305449421021e-5,9.197033393426554e-6,7.036278071919887e-6,6.265804111841675e-6,5.324147879342638e-6,10933.750289305211,4387.8395559614855,4.567945035164453e-5,0.0,243.23566571457633,265.58371963514605,15830.409318450436
t66,1.3986890716930978e-5,9.185032360912535e-6,6.957659044641696e-6,6.267071041531631e-6,5.220327375986468e-6,12276.823436381785,1746.6156594232416,4.4907130133094474e-5,0.0,1583.614167805009,442.742495139851,16049.795845273997
t67,1.4088415981044391e-5,9.189303866954619e-6,7.012089569388885e-6,6.266451477263654e-6,5.292976384240048e-6,12447.072144836464,85.20061239875545,4.4738958188242113e-5,0.0,4016.375893024704,409.018410210403,16957.66714705852
t68,1.4220094784486728e-5,9.189296521044224e-6,7.033980431060753e-6,6.291589710336264e-6,5.336532550102854e-6,12049.825157326502,0.0,4.4636650339789356e-5,0.0,4410.99459421513,367.53726273525047,16828.357100985028
t69,1.4255767725643585e-5,9.210889844009912e-6,7.066660502736196e-6,6.2986884474291675e-6,5.370419457552646e-6,12049.825157266836,0.0,4.468699477948155e-5,0.0,3683.410552286525,330.4241156764133,16063.659912119194
t70,1.4488091304839023e-5,9.210561339283834e-6,7.114944587880288e-6,6.2978183016364575e-6,5.442942529248108e-6,11690.411216253358,0.0,4.4734522050200265e-5,0.0,4190.386112799949,327.4079591765922,16208.205375518783
t71,1.39710449215237e-5,9.203662793199927e-6,6.96974126112027e-6,6.277114748330227e-6,5.2408374910371e-6,10404.087638878997,0.0,4.449604818726073e-5,0.0,4905.753207281828,313.0002044119294,15622.841136731202
t72,1.4095180175666536e-5,9.186834159455615e-6,6.992987840243794e-6,6.271646482944433e-6,5.2825959676945275e-6,9515.011047478487,0.0,4.456070787729384e-5,0.0,4879.326503903781,324.9211191217566,14719.258756893976
t73,1.411070770058549e-5,9.181930621797491e-6,6.99854785971094e-6,6.271360803998852e-6,5.288293180938425e-6,9061.014489888037,0.0,4.462806172941345e-5,0.0,4507.46025031845,326.70916954488564,13895.183996230275
t74,1.4129630099714385e-5,9.18512426268011e-6,7.008491892343267e-6,6.273171294536851e-6,5.2985084686456026e-6,8701.600548275503,0.0,4.470658510416226e-5,0.0,4178.312966231588,341.0757899312982,13220.989391039899
t75,1.436370289577818e-5,9.184354648531934e-6,7.0643887237994995e-6,6.280518306011072e-6,5.380604402008754e-6,9061.014489378445,0.0,4.482253915592452e-5,0.0,3367.471314216959,365.85498302499474,12794.340873716505
t76,1.3963922125466295e-5,9.180023948104647e-6,6.94434506638895e-6,6.274435800406477e-6,5.2053603678685595e-6,9496.094524831393,0.0,4.46435785943223e-5,0.0,2749.650074000104,402.0569075514348,12647.801592594597
t77,1.4138260816860118e-5,9.170085086875454e-6,6.977484699682705e-6,6.276961433295413e-6,5.262877866623915e-6,9987.924128333341,0.0,4.4761770245981004e-5,0.0,2168.269386318029,471.672901227064,12627.866502465873
t78,1.4073330916632142e-5,9.191652927858992e-6,6.989618499053268e-6,6.255294750084018e-6,5.256757537817687e-6,10290.588499740696,426.0037026165993,4.4943238338358096e-5,0.0,1320.6870461545943,569.7426076246512,12607.021942846435
t79,1.422909794562433e-5,9.202950417244013e-6,7.024332286954076e-6,6.2826528627122746e-6,5.290463347472848e-6,12144.407775015532,2939.4264516985304,4.4267040622481177e-5,0.0,204.60625976473221,454.46345412894203,15742.904026904273
t80,1.3444802930727068e-5,8.753222776660774e-6,6.7955577568943095e-6,6.087110196303567e-6,5.195298157742289e-6,13184.814936544002,7199.463131790966,3.7069498110687205e-5,0.0,0.00010057367929183513,0.00033734097896133164,20384.278583595114
t81,1.2990577747460016e-5,8.710777806225519e-6,6.689780609233372e-6,6.083599895043656e-6,5.064789333721666e-6,10990.388365731578,9221.250599232244,3.56158433750278e-5,0.0,9.230379722154736e-5,173.99083086139282,20385.62996328438
t82,1.3206187541820829e-5,8.719542986603357e-6,6.7440588333376735e-6,6.096659728550045e-6,5.132822348817664e-6,9260.49304719644,10645.90493185355,3.5547250481375255e-5,0.0,9.336382820392494e-5,244.84522731678413,20151.243375177128
t83,1.326776606713221e-5,8.745728834098051e-6,6.767992605761567e-6,6.108391630151016e-6,5.157730174486292e-6,8525.581511710847,11201.054676243277,3.5568931712901284e-5,0.0,9.385834080523461e-5,286.61830751102025,20013.25466494003
t84,1.3322119134541891e-5,8.768595301666677e-6,6.787090714815185e-6,6.114577750979882e-6,5.178196649289273e-6,8371.336601646615,11534.269174251041,3.559106358267295e-5,0.0,9.421158136865066e-5,313.4476697585227,20219.053615629404
t85,1.3560888494553945e-5,8.763812914797079e-6,6.831090234595628e-6,6.112213912839482e-6,5.241806026805974e-6,8687.762786201336,11925.403213261492,3.5601334031574665e-5,0.0,9.453295624769256e-5,306.7316773154347,20919.897847422362
t86,1.304385177722003e-5,8.751834070103905e-6,6.7193228913343674e-6,6.103054629764646e-6,5.094235826023579e-6,9456.8431932605,12161.608416768333,3.5503725772010736e-5,0.0,9.255625960412429e-5,247.88469515658454,21866.3364729577
