BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1534288720184037e8,1.8019561088548545e7,-2.3407422290874314e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502599951604e8
t1,5930.256933334362,6463.012939044869,-2.2379228944160332e-5,0.0,0.0,0.0,0.0,0.0,0.0,-12393.26985
t2,5098.574560548474,6966.153451849158,-2.2397633278496553e-5,0.0,0.0,0.0,0.0,0.0,0.0,-12064.72799
t3,4411.532600363788,7313.821772037242,-2.2401029639850586e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11725.35435
t4,3814.8908981466684,7816.265754259979,-2.240664719278936e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11631.15663
t5,3525.6100730598837,8033.480159328491,-2.2388373756555395e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11559.09021
t6,3535.4940132579654,7976.027789186493,-2.2444459147730813e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11511.52178
t7,5797.5792339447835,5596.050139640006,-2.3584791792405062e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11393.62935
t8,9896.391688034626,1393.3147617552672,-1.9789895557615275e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11289.70643
t9,13792.409089526842,2.341717089910785e-5,-2236.4766429440106,0.0,0.0,0.0,0.0,0.0,0.0,-11555.93247
t10,17091.58932052698,5.19898235835607e-5,-5395.558192516804,0.0,0.0,0.0,0.0,0.0,0.0,-11696.03118
t11,20081.307071454077,6.781867253192469e-6,-8426.998898235948,0.0,0.0,0.0,0.0,0.0,0.0,-11654.30818
t12,20162.207478957116,154.22693454678287,-8272.772103503883,0.0,0.0,0.0,0.0,0.0,0.0,-12043.66231
t13,19941.00745659724,173.00389980778863,-8253.99513640506,0.0,0.0,0.0,0.0,0.0,0.0,-11860.01622
t14,19817.859813867148,172.93355184789846,-8254.065485715046,0.0,0.0,0.0,0.0,0.0,0.0,-11736.72788
t15,20500.523159665405,166.39810243732202,-8260.600942102747,0.0,0.0,0.0,0.0,0.0,0.0,-12406.32032
t16,20443.95404972561,278.74641583879435,-8148.252635564347,0.0,0.0,0.0,0.0,0.0,0.0,-12574.44783
t17,17007.993089639316,4.7172553688991874e-5,-3817.7599068118707,0.0,0.0,0.0,0.0,0.0,0.0,-13190.23323
t18,13096.317756377075,933.3997271478861,-2.3524963816879612e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14029.71746
t19,10694.631829086316,3977.6339145351885,-2.3621506122581497e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14672.26572
t20,9727.067766075765,5236.60561749208,-2.356784554926237e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14963.67336
t21,9618.587456329184,4835.676457659139,-2.398832107212228e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14454.26389
t22,9256.986424719658,4530.251149118923,-2.3838583833384633e-5,0.0,0.0,0.0,0.0,0.0,0.0,-13787.23755
t23,8497.624258170586,4827.152015582086,-2.3752673656763028e-5,0.0,0.0,0.0,0.0,0.0,0.0,-13324.77625
t24,8298.743690760013,4418.868982855772,-2.361578539252386e-5,0.0,0.0,0.0,0.0,0.0,0.0,-12717.61265
