Zone,1
t1,-21.82899312057376
t2,-21.828993010819385
t3,-21.828992924358552
t4,-21.8289927158315
t5,-21.828992570459285
t6,-21.828992766614892
t7,-21.828993327123698
t8,-21.82899338216312
t9,-21.828993525029603
t10,-21.828993580207104
t11,-27.28624249283527
t12,-27.28624249635797
t13,-27.286242497158984
t14,-27.28624249582417
t15,-27.28624248643473
t16,-27.2862423522427
t17,-21.82899354291462
t18,-21.828993426124157
t19,-21.828993365545198
t20,-21.82899335393875
t21,-21.828993358127054
t22,-21.828993349067858
t23,-21.82899334144433
t24,-21.828993348330172
t25,-21.8289933409911
t26,-21.828993339990184
t27,-21.828993347395134
t28,-21.828993354341875
t29,-21.8289933573322
t30,-21.82899336242321
t31,-21.828993415223927
t32,-21.82899355724719
t33,-27.286242339180138
t34,-27.286242490138665
t35,-27.28624249659451
t36,-27.286242498017227
t37,-27.28624249836236
t38,-27.28624249815005
t39,-27.286242489267867
t40,-27.286242373499757
t41,-21.828993544071455
t42,-21.828993421986947
t43,-21.828993367331993
t44,-21.82899334644749
t45,-21.828993354216486
t46,-21.82899335266898
t47,-21.828993348670988
t48,-21.8289933423902
t49,-21.828993350281177
t50,-21.828993353995408
t51,-21.828993352018255
t52,-21.828993356872566
t53,-21.828993360946594
t54,-21.82899335564417
t55,-21.82899343800902
t56,-21.828993659701105
t57,-27.286242477010227
t58,-27.28624249582258
t59,-27.2862424981485
t60,-27.286242498223224
t61,-27.286242495194017
t62,-27.286242485122436
t63,-21.82899403435648
t64,-21.828993549686345
t65,-21.82899351764713
t66,-21.828993393040623
t67,-21.828993370473537
t68,-21.828993366778594
t69,-21.82899337294705
t70,-21.828993368611865
t71,-21.828993362101773
t72,-21.8289933623009
t73,-21.828993366609517
t74,-21.828993369872403
t75,-21.828993376505426
t76,-21.828993382528974
t77,-21.828993387854737
t78,-21.828993399963153
t79,-21.828993541581767
t80,-26.813086830068375
t81,-27.286242488720312
t82,-27.286242496766718
t83,-27.286242498876575
t84,-27.286242499315367
t85,-27.28624249840529
t86,-27.286242496050214
t87,-27.286242488999758
t88,-27.286242315043275
t89,-21.8289935477837
t90,-21.828993393588572
t91,-21.82899336426969
t92,-21.828993325724742
t93,-21.82899333499985
t94,-21.828993314629916
t95,-21.82899325957011
t96,-21.828993322446387
t97,-21.828993365118123
t98,-21.828993381131948
t99,-21.82899338555287
t100,-21.828993390830732
t101,-21.828993397614774
t102,-21.828993405355096
t103,-21.828993529270885
t104,-21.828993644314323
t105,-27.28624242078339
t106,-27.286242487618313
t107,-27.286242495438685
t108,-27.286242497804135
t109,-27.28624249719523
t110,-27.286242493849826
t111,-27.286242472523266
t112,-21.82899358892417
t113,-21.828993515945047
t114,-21.82899337911318
t115,-21.828993207376527
t116,-21.828992726502225
t117,-21.82899315996318
t118,-21.82899318109173
t119,-21.828993309490922
t120,-21.828993353254713
t121,-21.828993377991814
t122,-21.82899337721377
t123,-21.828993369443083
t124,-21.82899336040451
t125,-21.828993354304362
t126,-21.828993350240747
t127,-21.828993390162402
t128,-21.828993542888412
t129,-21.82899374425945
t130,-27.286242476163995
t131,-27.28624249398202
t132,-27.28624249658489
t133,-27.286242494799254
t134,-27.28624248632651
t135,-27.286242436851953
t136,-21.82899362789165
t137,-21.82899354988477
t138,-21.82899342095124
t139,-21.828993393625257
t140,-21.82899338982555
t141,-21.8289933914779
t142,-21.82899338586787
t143,-21.828993396674154
t144,-21.828993410615677
t145,-21.828993426169834
t146,-21.82899343177685
t147,-21.828993427774815
t148,-21.82899342382849
t149,-21.828993423382872
t150,-21.828993423892005
t151,-21.82899341964419
t152,-21.828993557676327
t153,-21.82899364351902
t154,-27.286242003409438
t155,-27.286242474130812
t156,-27.286242485573972
t157,-27.286242488474002
t158,-27.28624248725881
t159,-27.28624246173616
t160,-21.82899377807324
t161,-21.828993570257875
t162,-21.828993537343617
t163,-21.82899342803664
t164,-21.828993424937483
t165,-21.828993430457846
t166,-21.828993425468212
t167,-21.828993432639646
t168,-21.82899347137055
t169,-21.828993529325906
t170,-21.828993546142694
t171,-21.828993552463242
t172,-21.828993552115122
t173,-21.82899355141707
t174,-21.828993552883905
t175,-21.82899356381295
t176,-21.82899376401673
t177,-27.286242476320425
t178,-27.28624249462161
t179,-27.286242498632824
t180,-27.28624249963354
t181,-27.286242499368623
t182,-27.28624249643131
t183,-27.286242481756684
t184,-21.828994112030678
t185,-21.82899356872158
t186,-21.828993540333826
t187,-21.82899342003057
t188,-21.82899340507122
