Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116239.86178543964,4300.200867753424
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109058.78718605828,3940.163463213616
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101824.97013914725,3358.852476671196
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94524.84485600541,2404.2510440751407
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87199.22581651012,1351.6926641209702
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79916.29852219939,386.2141430835156
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73981.82165396945,504.3044321928994
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72465.75251059665,487.77409480756836
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74139.42684871895,439.68084072856755
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78742.09565263167,0.0007210527988642265
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84407.51166791804,1065.912167497013
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90072.92768430055,1894.8034938039305
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95738.3437008436,2707.712543765792
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101403.75971511035,3507.064253355964
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107069.17572626416,4266.162158055031
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112734.59174076498,4979.198890223219
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116095.14452694447,4577.428508495254
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115783.74111088345,4257.476019410338
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112503.28454984871,3875.1029806546826
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107941.19509884698,3558.954721823616
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103706.82296349008,3356.9515311951773
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98727.8535137593,3142.948367520497
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93337.1473225013,2910.100291506228
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88333.57601907913,2711.375510572355
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82940.28941876217,2473.7921516902284
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77426.30482884178,2238.459513237969
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72291.526013256,2002.465144820343
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67645.75030166998,1751.2342801142263
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63256.77546227772,1447.1361806889606
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59403.572357483594,1050.4672227704555
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58913.2106890531,570.6448240929639
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62937.832878689704,0.0005961595322787616
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68603.24888866795,1065.912311424463
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74268.6648958697,1699.8711723160823
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79934.0809024987,2263.2466079308665
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85599.49691317733,2804.0833794613964
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91264.91292234916,3322.8394587188313
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.32893076929,3885.041794381789
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102595.7449381717,4484.389459555103
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108261.1609456077,4979.198881121936
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111498.71093425818,4567.4549052225775
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111096.6527496341,4226.789228162485
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107547.18418352587,3863.064444001026
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102229.52075476946,3520.81281655806
