Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,194,12891.65084
,,,,,,,,195,12565.36703
,,,,,,,,196,12322.82893
,,,,,,,,197,12168.73594
,,,,,,,,198,12032.28599
,,,,,,,,199,11788.67106
,,,,,,,,200,11887.03599
,,,,,,,,201,12479.74626
,,,,,,,,202,12364.77574
,,,,,,,,203,11959.87834
,,,,,,,,204,11816.12216
,,,,,,,,205,12106.38556
,,,,,,,,206,12749.21357
,,,,,,,,207,13874.19257
,,,,,,,,208,14911.58779
,,,,,,,,209,15734.47112
,,,,,,,,210,16435.33644
,,,,,,,,211,16782.81948
,,,,,,,,212,16840.67066
,,,,,,,,213,16427.01332
,,,,,,,,214,15994.06122
,,,,,,,,215,14982.26747
,,,,,,,,216,13958.14199
,,,,,,,,217,13186.86358
,,,,,,,,218,12641.41345
,,,,,,,,219,12323.77993
,,,,,,,,220,12118.63831
,,,,,,,,221,12179.20497
,,,,,,,,222,12387.52175
,,,,,,,,223,12771.07633
,,,,,,,,224,13314.66027
,,,,,,,,225,13577.55333
,,,,,,,,226,13144.86295
,,,,,,,,227,12384.90123
,,,,,,,,228,12213.84443
,,,,,,,,229,12288.72723
,,,,,,,,230,12741.41557
,,,,,,,,231,13827.85782
,,,,,,,,232,15009.17727
,,,,,,,,233,16310.76088
,,,,,,,,234,16923.15738
,,,,,,,,235,16846.34305
,,,,,,,,236,16919.64229
,,,,,,,,237,16561.23412
,,,,,,,,238,16278.25618
,,,,,,,,239,15168.30889
,,,,,,,,240,14098.66456
,,,,,,,,241,13267.26906
,,,,,,,,242,12769.27324
,,,,,,,,243,12423.47535
,,,,,,,,244,12201.42329
,,,,,,,,245,12279.8936
,,,,,,,,246,12484.32108
,,,,,,,,247,12736.10571
,,,,,,,,248,13182.8277
,,,,,,,,249,13392.32988
,,,,,,,,250,13163.5841
,,,,,,,,251,12575.25764
,,,,,,,,252,12221.85784
,,,,,,,,253,11991.91261
,,,,,,,,254,12285.61288
,,,,,,,,255,13354.17757
,,,,,,,,256,14590.45509
,,,,,,,,257,15637.83589
,,,,,,,,258,16239.46725
,,,,,,,,259,16449.30944
,,,,,,,,260,16382.50179
,,,,,,,,261,15738.72947
,,,,,,,,262,15649.47542
,,,,,,,,263,14509.03819
,,,,,,,,264,13500.0102
,,,,,,,,265,12825.59725
,,,,,,,,266,12337.98911
,,,,,,,,267,12038.38968
,,,,,,,,268,11771.50112
,,,,,,,,269,11849.37481
,,,,,,,,270,12022.16435
,,,,,,,,271,12395.7887
,,,,,,,,272,12813.00526
,,,,,,,,273,12657.32398
,,,,,,,,274,12600.97357
,,,,,,,,275,12093.04216
,,,,,,,,276,11625.68212
,,,,,,,,277,11516.15726
,,,,,,,,278,11897.78939
,,,,,,,,279,13051.15851
,,,,,,,,280,14209.37003
,,,,,,,,281,15414.26043
,,,,,,,,282,16216.22539
,,,,,,,,283,16500.86698
,,,,,,,,284,16629.44782
,,,,,,,,285,15958.53739
,,,,,,,,286,15625.74305
,,,,,,,,287,14667.92191
,,,,,,,,288,13730.89114
,,,,,,,,289,13024.85764
,,,,,,,,290,12476.87495
,,,,,,,,291,12176.992
,,,,,,,,292,12030.79341
,,,,,,,,293,11980.49597
,,,,,,,,294,12142.49601
,,,,,,,,295,12345.05563
,,,,,,,,296,12579.44217
,,,,,,,,297,12710.59484
,,,,,,,,298,12213.74148
,,,,,,,,299,11521.19368
,,,,,,,,300,11301.85984
,,,,,,,,301,11445.2976
,,,,,,,,302,11918.49172
,,,,,,,,303,12965.53309
,,,,,,,,304,14191.30115
,,,,,,,,305,15601.71552
,,,,,,,,306,16413.84902
,,,,,,,,307,16663.68348
,,,,,,,,308,16770.54444
,,,,,,,,309,16180.28474
,,,,,,,,310,15950.75508
,,,,,,,,311,14834.27808
,,,,,,,,312,13830.70136
,,,,,,,,313,13047.43853
,,,,,,,,314,12543.04867
,,,,,,,,315,12264.55511
,,,,,,,,316,12049.94594
,,,,,,,,317,12092.40546
,,,,,,,,318,12307.73375
,,,,,,,,319,12615.98103
,,,,,,,,320,12954.48802
,,,,,,,,321,13290.53674
,,,,,,,,322,12947.04451
,,,,,,,,323,11929.48468
,,,,,,,,324,11867.31951
,,,,,,,,325,12108.87506
,,,,,,,,326,12565.12047
,,,,,,,,327,13749.90315
,,,,,,,,328,14631.80409
,,,,,,,,329,15872.63744
,,,,,,,,330,16568.2503
,,,,,,,,331,16630.94276
,,,,,,,,332,16675.9385
,,,,,,,,333,16141.96751
,,,,,,,,334,15872.97956
,,,,,,,,335,14965.80278
,,,,,,,,336,14025.01143
,,,,,,,,337,13288.829
,,,,,,,,338,12711.03333
,,,,,,,,339,12276.85631
,,,,,,,,340,12064.40982
,,,,,,,,341,11968.1623
,,,,,,,,342,11721.37527
,,,,,,,,343,11439.29178
,,,,,,,,344,11364.17248
,,,,,,,,345,11492.06648
,,,,,,,,346,11332.19163
,,,,,,,,347,10837.96388
,,,,,,,,348,10948.48878
,,,,,,,,349,10979.19202
,,,,,,,,350,11746.62018
,,,,,,,,351,12935.2299
,,,,,,,,352,14065.22553
,,,,,,,,353,15333.72563
,,,,,,,,354,16403.51239
,,,,,,,,355,16988.07037
,,,,,,,,356,17112.8606
,,,,,,,,357,16529.48483
,,,,,,,,358,16161.77587
,,,,,,,,359,15250.04803
,,,,,,,,360,14304.13814
,,,,,,,,361,13626.46559
,,,,,,,,362,13079.91128
,,,,,,,,363,12683.88102
,,,,,,,,364,12285.90844
