BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.152717492076064e8,1.7792733744947005e7,-2.3109456952466346e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502599991713e8
t1,5913.236757085996,6376.677119769582,-1.6870515254233834e-5,0.0,0.0,0.0,0.0,0.0,0.0,-12289.91386
t2,5083.941360326476,6900.504706691652,-1.701282619367704e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11984.44605
t3,4398.871249979315,7253.163047011544,-1.699948035998408e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11652.03428
t4,3803.941943394276,7737.80759300233,-1.639771029129437e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11541.74952
t5,3515.4913679865435,7947.484467604598,-1.5593871797362773e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11462.97582
t6,3527.4151347681354,7880.278430352385,-1.511508290540716e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11407.69355
t7,5794.432333285726,5500.47878473328,-1.801140985764104e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11294.9111
t8,9899.996195515703,1453.2888188273878,-1.4330738274173974e-5,0.0,0.0,0.0,0.0,0.0,0.0,-11353.285
t9,13803.248553684578,1.7813864603678908e-5,-2001.3896914934528,0.0,0.0,0.0,0.0,0.0,0.0,-11801.85888
t10,17107.732742626606,4.1870782126774056e-5,-5108.004594506872,0.0,0.0,0.0,0.0,0.0,0.0,-11999.72819
t11,20158.590434001235,5.140656890720638e-6,-8337.489539140555,0.0,0.0,0.0,0.0,0.0,0.0,-11821.1009
t12,20221.64784717758,166.88328927783593,-8170.606346412007,0.0,0.0,0.0,0.0,0.0,0.0,-12217.92479
t13,19877.628107522898,185.70895657794006,-8151.78067410599,0.0,0.0,0.0,0.0,0.0,0.0,-11911.55639
t14,19731.6399879651,177.8553879478976,-8159.634245915884,0.0,0.0,0.0,0.0,0.0,0.0,-11749.86113
t15,20452.905222652822,175.86611597174928,-8161.623518636367,0.0,0.0,0.0,0.0,0.0,0.0,-12467.14782
t16,20421.844664251974,276.3636601565073,-8061.125971626536,0.0,0.0,0.0,0.0,0.0,0.0,-12637.08233
t17,16987.247485855314,3.1183776693156015e-5,-3800.6446370210456,0.0,0.0,0.0,0.0,0.0,0.0,-13186.60288
t18,13067.98819389114,921.8476581165069,-1.7200037657529562e-5,0.0,0.0,0.0,0.0,0.0,0.0,-13989.83583
t19,10664.62702261277,3921.138366815191,-1.728288339268771e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14585.76537
t20,9699.150525998113,5214.777580024069,-1.726033634971044e-5,0.0,0.0,0.0,0.0,0.0,0.0,-14913.92809
