Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
QLD_coal,1,8126.0,809.7960745753312,8.436792463816726e-5,7316.204009792593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_coal_ccs,1,0.0,0.0,0.000408681576739873,0.000408681576739873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT,1,1597.9,1098.2922526497393,0.0004879159043612298,499.60823526616514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_CCGT_CCS,1,0.0,0.0,0.0007436599572919643,0.0007436599572919643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_OCGT,1,1988.5,1988.4593247297194,0.00038261727718480465,0.04105788755782669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_wind,1,826.408,4.80847577026036e-8,18329.333765144696,19155.741765096613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_solar,1,1798.627,1.159570923694885e-7,19264.14046230332,21062.767462187363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_biomass,1,0.0,0.0,0.0008541394969247308,0.0008541394969247308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_hydro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QLD_PHES,1,740.0,7.392256394292538e-8,6858.17842610309,7598.178426029167,6770.0,3.418113324847194e-6,183256.27434865604,190026.27434523794,0.0,0.0,0.0,0.0
QLD_battery,1,100.0,1.9622008895635753e-7,986.4945491953226,1086.4945489991026,150.0,5.381881323635414e-7,4522.613551548063,4672.613551009875,0.0,0.0,0.0,0.0
Total,n/a,15177.435,3896.5476523889747,45438.15016412857,56719.037511739596,6920.0,3.956301457210735e-6,187778.8879002041,194698.88789624782,0.0,0.0,0.0,0.0
