BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1573756436284423e8,1.916644970669445e7,-2.4948988069734614e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0995502599979699e8
t1,6283.082973278145,7537.314858284097,-243.68173156224148,0.0,0.0,0.0,0.0,0.0,0.0,-13576.7161
t2,5401.918784623573,7757.544594498955,-189.3343191225286,0.0,0.0,0.0,0.0,0.0,0.0,-12970.12906
t3,4674.000574117273,7968.526733714806,-149.0348178320793,0.0,0.0,0.0,0.0,0.0,0.0,-12493.49249
t4,4041.8610902760756,8329.340660727205,-82.43985100327956,0.0,0.0,0.0,0.0,0.0,0.0,-12288.7619
t5,3735.369228490379,8424.844385170836,-61.882823661214765,0.0,0.0,0.0,0.0,0.0,0.0,-12098.33079
t6,3698.7930059840983,8323.032451496927,-79.70789748102416,0.0,0.0,0.0,0.0,0.0,0.0,-11942.11756
t7,5835.582122531319,6407.248343081015,-554.4790256123348,0.0,0.0,0.0,0.0,0.0,0.0,-11688.35144
t8,9757.070992790415,2086.5680144740477,-659.9232572644636,0.0,0.0,0.0,0.0,0.0,0.0,-11183.71575
t9,13465.93975240256,679.1817169407525,-3096.899419343312,0.0,0.0,0.0,0.0,0.0,0.0,-11048.22205
t10,16625.35497070897,639.9360349125416,-6565.73171562151,0.0,0.0,0.0,0.0,0.0,0.0,-10699.55929
t11,18969.35374538123,0.002034629080156983,-8684.652660010313,0.0,0.0,0.0,0.0,0.0,0.0,-10284.70312
t12,18707.86756157229,106.81656696169453,-8577.846058533985,0.0,0.0,0.0,0.0,0.0,0.0,-10236.83807
t13,18634.098252953918,114.77193364983303,-8569.89068660375,0.0,0.0,0.0,0.0,0.0,0.0,-10178.9795
t14,18943.540583953345,121.0012797901007,-8563.661263743448,0.0,0.0,0.0,0.0,0.0,0.0,-10500.8806
t15,20093.020184525158,139.63822530766896,-8545.024389832824,0.0,0.0,0.0,0.0,0.0,0.0,-11687.63402
t16,20552.34504208906,167.11650269872854,-8517.547114787789,0.0,0.0,0.0,0.0,0.0,0.0,-12201.91443
t17,17381.398336445276,887.0444183259469,-5092.889234771219,0.0,0.0,0.0,0.0,0.0,0.0,-13175.55352
t18,13664.901651327604,1226.4387091730794,-803.8000105006839,0.0,0.0,0.0,0.0,0.0,0.0,-14087.54035
t19,11315.235785038227,4021.3690862136054,-513.278791251828,0.0,0.0,0.0,0.0,0.0,0.0,-14823.32608
t20,10305.7888262656,5172.579765960858,-471.50971222645694,0.0,0.0,0.0,0.0,0.0,0.0,-15006.85888
t21,10190.854379271435,4772.9585358134345,-526.060675084869,0.0,0.0,0.0,0.0,0.0,0.0,-14437.75224
t22,9807.739545265498,5614.34372200435,-475.0715372698455,0.0,0.0,0.0,0.0,0.0,0.0,-14947.01173
t23,9003.198391023801,6076.311088049038,-438.3014090728371,0.0,0.0,0.0,0.0,0.0,0.0,-14641.20807
t24,8792.48523049034,5711.05906797024,-467.4582184605797,0.0,0.0,0.0,0.0,0.0,0.0,-14036.08608
t25,7623.984967574541,6081.347302570487,-428.34476014502695,0.0,0.0,0.0,0.0,0.0,0.0,-13276.98751
t26,6838.599530210554,6167.974319033989,-434.40375924454355,0.0,0.0,0.0,0.0,0.0,0.0,-12572.17009
t27,6857.755272111809,5793.0635510862,-459.4409031980086,0.0,0.0,0.0,0.0,0.0,0.0,-12191.37792
t28,7164.247156965369,5336.387385322459,-481.39782228782576,0.0,0.0,0.0,0.0,0.0,0.0,-12019.23672
t29,7164.247157128741,5120.203384588988,-478.88157171772906,0.0,0.0,0.0,0.0,0.0,0.0,-11805.56897
t30,7411.193032744145,4664.70644640881,-470.03742915295413,0.0,0.0,0.0,0.0,0.0,0.0,-11605.86205
t31,10001.998964411303,1564.7992122989313,-667.1322467102349,0.0,0.0,0.0,0.0,0.0,0.0,-10899.66593
t32,14892.631591355703,930.2286068861051,-5845.560681241808,0.0,0.0,0.0,0.0,0.0,0.0,-9977.299517
t33,18090.370937718613,0.001666501342681227,-8684.655129219955,0.0,0.0,0.0,0.0,0.0,0.0,-9405.717475
t34,17295.161464010376,200.12248164433566,-8484.540742654708,0.0,0.0,0.0,0.0,0.0,0.0,-9010.743203
t35,17160.443976235696,232.98082440711292,-8451.682519642813,0.0,0.0,0.0,0.0,0.0,0.0,-8941.742281
t36,17304.356786113458,242.29582323369908,-8442.367166347156,0.0,0.0,0.0,0.0,0.0,0.0,-9104.285443
t37,17403.031844338373,252.7244470011433,-8431.938497339517,0.0,0.0,0.0,0.0,0.0,0.0,-9223.817794
t38,17228.52154549145,233.39144206073792,-8451.271663552187,0.0,0.0,0.0,0.0,0.0,0.0,-9010.641324
t39,19476.945416252584,216.52618835929746,-8468.136934611883,0.0,0.0,0.0,0.0,0.0,0.0,-11225.33467
t40,20365.155585265205,263.5917191959319,-8421.071984461138,0.0,0.0,0.0,0.0,0.0,0.0,-12207.67532
t41,17482.98361731307,895.6479754822934,-4936.050672795361,0.0,0.0,0.0,0.0,0.0,0.0,-13442.58092
t42,14251.01604802555,1296.2516589351942,-763.8318569607442,0.0,0.0,0.0,0.0,0.0,0.0,-14783.43585
t43,11815.19208963935,4267.309231747891,-514.019951387242,0.0,0.0,0.0,0.0,0.0,0.0,-15568.48137
t44,10248.321600300993,5917.879619600728,-433.5413399017229,0.0,0.0,0.0,0.0,0.0,0.0,-15732.65988
t45,10248.321603636297,5374.959563194515,-470.3226168308098,0.0,0.0,0.0,0.0,0.0,0.0,-15152.95855
t46,10305.788827692688,5632.6893378173645,-477.58518551005113,0.0,0.0,0.0,0.0,0.0,0.0,-15460.89298
t47,9673.64935404148,5906.77171465335,-453.66134869482937,0.0,0.0,0.0,0.0,0.0,0.0,-15126.75972
t48,8447.68187992187,6228.856272240949,-422.4374621628193,0.0,0.0,0.0,0.0,0.0,0.0,-14254.10069
t49,8026.255555488427,5818.533678721228,-456.03859420965296,0.0,0.0,0.0,0.0,0.0,0.0,-13388.75064
t50,7681.4521983074255,5551.83663832623,-463.1015766336558,0.0,0.0,0.0,0.0,0.0,0.0,-12770.18726
t51,7030.156965423472,5785.845268895957,-461.94832431942564,0.0,0.0,0.0,0.0,0.0,0.0,-12354.05391
t52,7106.779934263571,5494.745677071151,-470.1787613347202,0.0,0.0,0.0,0.0,0.0,0.0,-12131.34685
t53,7336.64883966278,5211.25884044067,-474.89434010345053,0.0,0.0,0.0,0.0,0.0,0.0,-12073.01334
t54,6608.558863718847,5750.4301337404195,-422.551647459265,0.0,0.0,0.0,0.0,0.0,0.0,-11936.43735
t55,10906.132894086712,1308.1119098867262,-784.0433939734345,0.0,0.0,0.0,0.0,0.0,0.0,-11430.20141
t56,17057.31583564815,557.9250859998812,-7061.220061648034,0.0,0.0,0.0,0.0,0.0,0.0,-10554.02086
t57,18402.292926998114,0.0016746468614119545,-8684.654030644975,0.0,0.0,0.0,0.0,0.0,0.0,-9717.640571
t58,17343.762287127905,124.78644304105714,-8559.876487168964,0.0,0.0,0.0,0.0,0.0,0.0,-8908.672243
t59,17283.279274314256,131.69380589219193,-8552.969057206454,0.0,0.0,0.0,0.0,0.0,0.0,-8862.004023
t60,17516.88543440352,141.28154139090248,-8543.381347794424,0.0,0.0,0.0,0.0,0.0,0.0,-9114.785628
t61,18540.678368619625,124.94888578530932,-8559.713794404934,0.0,0.0,0.0,0.0,0.0,0.0,-10105.91346
t62,19589.384940058597,126.63449098516176,-8558.02817104376,0.0,0.0,0.0,0.0,0.0,0.0,-11157.99126
t63,19067.38588594643,428.3432137854521,-7784.02892973188,0.0,0.0,0.0,0.0,0.0,0.0,-11711.70017
t64,17036.082148480433,907.2494604614135,-5152.656698941849,0.0,0.0,0.0,0.0,0.0,0.0,-12790.67491
t65,15410.947853473286,871.417646759347,-2001.8682502326333,0.0,0.0,0.0,0.0,0.0,0.0,-14280.49725
t66,14159.22236760088,2181.3859184908993,-618.8828060917785,0.0,0.0,0.0,0.0,0.0,0.0,-15721.72548
t67,12688.72808740781,4533.652734623551,-519.0634020313615,0.0,0.0,0.0,0.0,0.0,0.0,-16703.31742
t68,12202.207238611903,4841.92270308248,-512.1753216943813,0.0,0.0,0.0,0.0,0.0,0.0,-16531.95462
t69,12202.20724018185,4082.43085789184,-548.1783380736882,0.0,0.0,0.0,0.0,0.0,0.0,-15736.45976
t70,11838.248155640797,4695.080371914071,-512.5861575548648,0.0,0.0,0.0,0.0,0.0,0.0,-16020.74237
t71,10535.6577281877,5444.2860156731795,-488.682823860878,0.0,0.0,0.0,0.0,0.0,0.0,-15491.26092
