Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109581.64408857857,4329.771297410688
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102605.54862321948,3990.0125316213803
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95585.34497874606,3388.643838025399
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88523.56648815247,2397.922091656205
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81444.28645319991,1290.9668674535717
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74396.1403635395,292.0308198287974
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68752.4140843792,353.812288029934
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67266.35375396945,283.0753805308379
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68642.10224271283,303.97633126326826
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72767.75205683416,0.0007753326277474802
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78231.6081137789,1142.88519822729
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83695.46417079699,1996.8171507400048
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89159.32022532112,2801.428427215501
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94623.17627948325,3619.632667194277
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100087.03232936155,4415.902525954847
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105550.88838408973,5145.826166140478
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108713.24723039026,4949.460391088219
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108409.54662968441,4574.898292105383
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105194.39040376831,4130.791094443484
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100626.7651833877,3753.5734768126395
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96352.12455931274,3499.6715147607315
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91587.30965737083,3238.3418445008933
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86527.14609771543,2966.9173944844565
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81916.51096074909,2721.843986838704
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76860.93489968672,2440.8218202958983
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71599.08887133723,2169.448223526638
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66687.75322329019,1888.8369470764294
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62268.24163279088,1590.0832251096244
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58095.69599680912,1234.9454158629185
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54470.52520447054,773.3660000989663
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54179.016625479395,274.1777956994463
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57904.84306616935,0.0006346581224079273
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63368.69911865858,1142.885487498341
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68832.55516765126,1807.6996420901708
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74296.41121651199,2374.740869031079
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79760.26727198563,2925.6542389748365
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85224.12332535826,3447.09106828851
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90687.97937717597,4009.855403233364
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96151.83542600137,4650.115495387912
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101615.69147327794,5145.826157521369
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104648.14068038255,4942.329429048671
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104256.87634093163,4531.99677261795
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100757.77763043523,4113.426512371108
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95437.38401317973,3704.356080552189
