Resource,QLD_coal,QLD_coal_ccs,QLD_CCGT,QLD_CCGT_CCS,QLD_OCGT,QLD_wind,QLD_solar,QLD_biomass,QLD_hydro,QLD_PHES,QLD_battery
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5451572251901205e-6,-6.112083490715443e-6
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.542255635763074e-6,-6.019187152308e-6
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.541101586670965e-6,-5.964982870615393e-6
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.53972314911109e-6,-5.868907533032774e-6
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.538070500054963e-6,-5.6228712628924484e-6
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.536370832741667e-6,-4.970089779158183e-6
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.531947585671326e-6,2.718876349286919
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.530538400625737e-6,5.309881715000545
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.529408015622126e-6,5.309881823325641
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.528520748702621e-6,5.309881857284747
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.52785179676951e-6,5.309881852220862
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525636090688529e-6,5.309881844683766
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525356351580781e-6,5.309881707446341
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5252600708939935e-6,-3.1475254995012425e-6
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525339032486661e-6,-4.634201912953897e-6
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.525517898001521e-6,-5.189015529034536e-6
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.524318901421581e-6,-5.738508397997364e-6
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5244137874834405e-6,-5.900005073432417e-6
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.524369573390602e-6,-5.983411956346941e-6
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.524189729914424e-6,-6.0344565896076195e-6
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.523877788047577e-6,-6.06742523688641e-6
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.52173186019436e-6,-6.041216110051596e-6
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.521098620137851e-6,-6.04468363682649e-6
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.520298627182345e-6,-6.034323790311904e-6
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.51933188307463e-6,-6.009547011581217e-6
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.518216788478318e-6,-5.967703905726587e-6
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.514726930901166e-6,-5.812068025557784e-6
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.513385416241439e-6,-5.662849158674396e-6
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5119833266708835e-6,-4.862999092456529e-6
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.510572120736425e-6,2.4645110371280934
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.509282604486699e-6,5.309881620112947
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.506098862814919e-6,5.309882063366236
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5053032749659445e-6,5.309882147263952
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.504718651568726e-6,5.3098821828286225
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.504330098785575e-6,5.3098821891083645
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.50412808395245e-6,5.309882168873071
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.502624093697001e-6,5.3098821521049455
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.502784045560573e-6,5.309882034387503
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.503130139032892e-6,5.309881582344568
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5036691532652334e-6,-4.71516019319698e-6
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5042839071811845e-6,-5.7895797059900485e-6
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.503556631085649e-6,-5.967319322929373e-6
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.503866544481016e-6,-6.071777478242923e-6
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.503955060066528e-6,-6.126933890400327e-6
